"","year","month","tmin","tmax","spei","drought","yrmo","tave","wy","wymo","p","T_anom","P_anom"
"734",2003,10,14.3189964157706,23.5573476702509,1.16197532958976,"none","2003-10",18.9381720430107,2004,1,0,1.16679073614557,-15.5428461374744
"735",2003,11,9.25925925925926,20.2407407407407,0.815831432520786,"none","2003-11",14.75,2004,2,47.498,-0.398444919278257,1.18207696323078
"736",2003,12,8.1899641577061,18.0645161290323,0.395608600793827,"none","2003-12",13.1272401433692,2004,3,58.674,0.302600988084864,-14.9962972215811
"737",2004,1,7.27598566308244,17.9032258064516,0.511802540368947,"none","2004-1",12.589605734767,2004,4,10.668,0.0360720522010869,-89.9029741778077
"738",2004,2,7.96934865900383,17.6436781609195,0.717625042941421,"none","2004-2",12.8065134099617,2004,5,142.494,-0.335391580003648,40.8907437715641
"739",2004,3,11.3351254480287,19.8387096774194,0.343264218478231,"none","2004-3",15.586917562724,2004,6,12.192,1.63184519758632,-66.6434170578608
"740",2004,4,11.7962962962963,21.4814814814815,0.0963135361770284,"none","2004-4",16.6388888888889,2004,7,0.254,1.35353535353536,-32.0697661912208
"741",2004,5,13.1003584229391,22.4551971326165,-0.214241810386251,"none","2004-5",17.7777777777778,2004,8,0,1.46488575268817,-8.7121999767875
"742",2004,6,14.8888888888889,20.7407407407407,-0.228329555005548,"none","2004-6",17.8148148148148,2004,9,0,0.135495982669703,-2.25063290401266
"743",2004,7,14.7132616487455,23.7455197132617,-0.250581939513783,"none","2004-7",19.2293906810036,2004,10,0,-0.284575788608045,-0.554181817454545
"744",2004,8,15.752688172043,23.4587813620072,-0.243623968561655,"none","2004-8",19.6057347670251,2004,11,0,-0.405154031123814,-0.739493670594937
"745",2004,9,15.6666666666667,26.6388888888889,-0.341285290571652,"none","2004-9",21.1527777777778,2004,12,0,1.66733217592592,-4.6958249964375
"746",2004,10,12.7060931899642,21.9354838709677,0.28530507077262,"none","2004-10",17.320788530466,2005,1,116.84,-0.450592776399223,101.297153862526
"747",2004,11,9.81481481481482,20.0555555555556,0.146216095033782,"none","2004-11",14.9351851851852,2005,2,9.398,-0.213259734093068,-36.9179230367692
"748",2004,12,8.47670250896058,19.1845878136201,0.662921243541781,"none","2004-12",13.8306451612903,2005,3,196.85,1.006006006006,123.179702778419
"749",2005,1,8.8978494623656,18.2078853046595,1.50984567090177,"none","2005-1",13.5528673835125,2005,4,307.086,0.999333700946606,206.515025822192
"750",2005,2,10.3769841269841,19.0873015873016,1.54615414951192,"none","2005-2",14.7321428571429,2005,5,169.926,1.59023786717753,68.3227437715641
"751",2005,3,11.0394265232975,19.6415770609319,1.68940527447712,"none","2005-3",15.3405017921147,2005,6,98.806,1.385429426977,19.9705829421392
"752",2005,4,10.962962962963,20.5925925925926,1.7632622022795,"none","2005-4",15.7777777777778,2005,7,21.844,0.492424242424244,-10.4797661912208
"753",2005,5,13.2795698924731,21.7741935483871,1.79897635066002,"none","2005-5",17.5268817204301,2005,8,17.526,1.2139896953405,8.8138000232125
"754",2005,6,13.4537037037037,21.6481481481481,1.78061368354024,"none","2005-6",17.5509259259259,2005,9,0,-0.12839290621919,-2.25063290401266
"755",2005,7,15.2150537634409,22.8673835125448,1.78133247454942,"none","2005-7",19.0412186379928,2005,10,0,-0.472747831618808,-0.554181817454545
"756",2005,8,16.0752688172043,23.5483870967742,1.78499878485838,"none","2005-8",19.8118279569893,2005,11,0,-0.19906084115965,-0.739493670594937
"757",2005,9,13.8703703703704,22.3796296296296,1.87579322497063,"none","2005-9",18.125,2005,12,2.794,-1.36044560185186,-1.9018249964375
"758",2005,10,12.6433691756272,22.1415770609319,1.71080966568858,"none","2005-10",17.3924731182796,2006,1,29.464,-0.378908188585605,13.9211538625256
"759",2005,11,11.1574074074074,22.7222222222222,1.73016106850215,"none","2005-11",16.9398148148148,2006,2,42.418,1.79136989553656,-3.89792303676923
"760",2005,12,9.62365591397849,18.5483870967742,1.35659471807477,"none","2005-12",14.0860215053763,2006,3,18.796,1.26138235009203,-54.8742972215811
"761",2006,1,8.01075268817204,19.15770609319,0.777393775511172,"none","2006-1",13.584229390681,2006,4,113.03,1.03069570811506,12.4590258221923
"762",2006,2,8.57142857142857,20.3769841269841,0.37694929291308,"none","2006-2",14.4742063492064,2006,5,83.058,1.33230135924101,-18.5452562284359
"763",2006,3,7.5089605734767,16.4605734767025,0.495997478912539,"none","2006-3",11.9847670250896,2006,6,107.867958,-1.9703053400481,29.0325409421392
"764",2006,4,10.8148148148148,18.8425925925926,0.910119163877312,"none","2006-4",14.8287037037037,2006,7,137.651998,-0.456649831649829,105.328231808779
"765",2006,5,12.4910394265233,19.8566308243728,0.992196633782211,"none","2006-5",16.173835125448,2006,8,32.766,-0.139056899641577,24.0538000232125
"766",2006,6,14.6944444444444,23.5462962962963,0.985427723383505,"none","2006-6",19.1203703703704,2006,9,0,1.44105153822526,-2.25063290401266
"767",2006,7,16.3216845878136,25.9587813620072,0.932455071501381,"none","2006-7",21.1402329749104,2006,10,0,1.62626650529876,-0.554181817454545
"768",2006,8,15.9498207885305,25.3225806451613,0.897358506331663,"none","2006-8",20.6362007168459,2006,11,2.032,0.625311918696973,1.29250632940506
"769",2006,9,14.0555555555556,24.5740740740741,0.900878570545736,"none","2006-9",19.3148148148148,2006,12,0,-0.170630787037034,-4.6958249964375
"770",2006,10,11.9175627240143,23.010752688172,0.809063430634062,"none","2006-10",17.4641577060932,2007,1,4.826,-0.307223600771987,-10.7168461374744
"771",2006,11,11.3611111111111,22.8055555555556,0.690266976117148,"none","2006-11",17.0833333333333,2007,2,6.858,1.93488841405508,-39.4579230367692
"772",2006,12,6.03942652329749,19.5519713261649,0.607238104835854,"none","2006-12",12.7956989247312,2007,3,22.098,-0.0289402305531326,-51.5722972215811
"773",2007,1,6.20967741935484,18.2347670250896,0.401472991429537,"none","2007-1",12.2222222222222,2007,4,57.912,-0.331311460343716,-42.6589741778077
"774",2007,2,8.65079365079365,19.4047619047619,0.2859212604312,"none","2007-2",14.0277777777778,2007,5,49.022,0.885872787812442,-52.5812562284359
"775",2007,3,10.2867383512545,20.5197132616487,-0.276649056940217,"none","2007-3",15.4032258064516,2007,6,2.54,1.44815344131391,-76.2954170578608
"776",2007,4,11.1296296296296,19.4444444444444,-1.01412176529814,"moderate","2007-4",15.287037037037,2007,7,19.558,0.00168350168350528,-12.7657661912208
"777",2007,5,11.7204301075269,19.2204301075269,-1.22280868080081,"severe","2007-5",15.4704301075269,2007,8,0,-0.842461917562719,-8.7121999767875
"778",2007,6,13.7592592592593,20.9907407407407,-1.17597338663243,"moderate","2007-6",17.375,2007,9,0,-0.304318832145114,-2.25063290401266
"779",2007,7,15.7168458781362,23.2795698924731,-1.06832051315291,"moderate","2007-7",19.4982078853047,2007,10,0,-0.015758584306969,-0.554181817454545
"780",2007,8,15.7885304659498,24.6057347670251,-1.09353644695414,"moderate","2007-8",20.1971326164875,2007,11,0,0.18624381833855,-0.739493670594937
"781",2007,9,13.1944444444444,23.7314814814815,-1.11190696814903,"moderate","2007-9",18.462962962963,2007,12,5.334,-1.02248263888889,0.638175003562499
"782",2007,10,11.0752688172043,22.8494623655914,-1.09529834674227,"moderate","2007-10",16.9623655913979,2008,1,5.842,-0.809015715467325,-9.70084613747436
"783",2007,11,10.3703703703704,19.2962962962963,-0.976164993609628,"moderate","2007-11",14.8333333333333,2008,2,0,-0.315111585944921,-46.3159230367692
"784",2007,12,12.6612903225807,16.2007168458781,-0.33300949905544,"none","2007-12",14.4310035842294,2008,3,78.74,1.60636442894508,5.06970277841891
"785",2008,1,7.32974910394265,16.5501792114695,0.781119865519558,"none","2008-1",11.9399641577061,2008,4,298.704,-0.613569524859845,198.133025822192
"786",2008,2,8.40996168582376,17.6819923371648,0.82712527712803,"none","2008-2",13.0459770114943,2008,5,54.356,-0.095927978471078,-47.2472562284359
"787",2008,3,11.0483870967742,16.0931899641577,0.980159335350462,"none","2008-3",13.5707885304659,2008,6,0,-0.384283834671759,-78.8354170578608
"788",2008,4,10.0185185185185,19.6527777777778,0.887533597173437,"none","2008-4",14.8356481481482,2008,7,3.302,-0.449705387205384,-29.0217661912208
"789",2008,5,11.8458781362007,20.4480286738351,0.871159076463985,"none","2008-5",16.1469534050179,2008,8,0.508,-0.165938620071682,-8.2041999767875
"790",2008,6,14.1666666666667,21.5185185185185,0.881784613377418,"none","2008-6",17.8425925925926,2008,9,0.762,0.163273760447488,-1.48863290401266
"791",2008,7,16.0573476702509,22.5985663082437,0.873376508066659,"none","2008-7",19.3279569892473,2008,10,0,-0.186009480364319,-0.554181817454545
"792",2008,8,15.1523297491039,23.3512544802867,0.864586968133488,"none","2008-8",19.2517921146953,2008,11,0,-0.759096683453564,-0.739493670594937
"793",2008,9,15.4259259259259,24.0925925925926,0.898928489898345,"none","2008-9",19.7592592592593,2008,12,0,0.273813657407409,-4.6958249964375
"794",2008,10,15.0089605734767,23.8440860215054,0.912741057109079,"none","2008-10",19.426523297491,2009,1,1.27,1.65514199062587,-14.2728461374744
"795",2008,11,11.8333333333334,19.6111111111111,1.07790793989849,"none","2008-11",15.7222222222222,2009,2,49.784,0.57377730294397,3.46807696323077
"796",2008,12,11.6666666666667,18.3333333333333,0.909987575168824,"none","2008-12",15,2009,3,57.912,2.17536084471568,-15.7582972215811
"797",2009,1,11.7025089605735,18.3512544802867,-0.173271095973989,"none","2009-1",15.0268817204301,2009,4,24.892,2.47334803786417,-75.6789741778077
"798",2009,2,7.46031746031746,18.968253968254,0.118550782798224,"none","2009-2",13.2142857142857,2009,5,127.762,0.0723807243203751,26.1587437715641
"799",2009,3,8.96057347670251,20.8602150537634,0.0296506778026038,"none","2009-3",14.910394265233,2009,6,22.098,0.955321900095278,-56.7374170578608
"800",2009,4,9.5,23.5046296296296,-0.157513508785797,"none","2009-4",16.5023148148148,2009,7,5.334,1.21696127946128,-26.9897661912208
"801",2009,5,12.831541218638,23.7275985663083,-0.245801027881192,"none","2009-5",18.2795698924731,2009,8,0,1.96667786738351,-8.7121999767875
"802",2009,6,14.037037037037,25.0185185185185,-0.288221239602214,"none","2009-6",19.5277777777778,2009,9,11.43,1.84845894563266,9.17936709598734
"803",2009,7,14.9283154121864,27.078853046595,-0.407104268099979,"none","2009-7",21.0035842293907,2009,10,0,1.48961775977905,-0.554181817454545
"804",2009,8,14.7311827956989,26.836917562724,-0.51669098022962,"none","2009-8",20.7840501792115,2009,11,0,0.773161381062568,-0.739493670594937
"805",2009,9,16.1111111111111,28.7962962962963,-0.647080065191237,"dry","2009-9",22.4537037037037,2009,12,0.254,2.96825810185185,-4.4418249964375
"806",2009,10,12.6164874551971,25.5824372759857,-0.142455472390431,"none","2009-10",19.0994623655914,2010,1,101.346,1.32808105872623,85.8031538625256
"807",2009,11,8.66666666666667,23.2037037037037,-0.546302334989686,"dry","2009-11",15.9351851851852,2010,2,0.508,0.786740265906937,-45.8079230367692
"808",2009,12,6.12007168458781,21.0483870967742,-0.622180179462782,"dry","2009-12",13.584229390681,2010,3,79.502,0.759590235396681,5.83170277841892
"809",2010,1,7.95698924731183,20.2150537634409,-0.128296898088254,"none","2010-1",14.0860215053763,2010,4,150.622,1.5324878228104,50.0510258221923
"810",2010,2,8.21428571428572,21.6269841269841,-0.261419577622571,"none","2010-2",14.9206349206349,2010,5,117.094,1.77872993066959,15.4907437715641
"811",2010,3,6.66666666666667,20.0627240143369,-0.26568660081758,"none","2010-3",13.3646953405018,2010,6,17.272,-0.590377024635906,-61.5634170578608
"812",2010,4,9.31481481481482,22.1388888888889,-0.049478252986811,"none","2010-4",15.7268518518519,2010,7,48.006,0.441498316498315,15.6822338087792
