ID date mm Flag
200 1968-12-11  0.05 E311
200 1968-12-14  0.09 E311
200 1968-12-15  0.49 E311
200 1968-12-16  0.11 E311
200 1968-12-24  0.04 E311
200 1968-12-25  0.30 E311
200 1968-12-26  0.14 E311
200 1968-12-28  0.13 E311
200 1969-01-13  1.00 E311
200 1969-01-14  0.04 E311
200 1969-01-18  1.96 E311
200 1969-01-19  3.14 E311
200 1969-01-20  1.17 E311
200 1969-01-21  0.62 E311
200 1969-01-22  0.05 E311
200 1969-01-23  0.40 E311
200 1969-01-24  2.22 E311
200 1969-01-25  1.13 E311
200 1969-01-26  0.29 E311
200 1969-01-28  0.23 E311
200 1969-02-04  0.04 E311
200 1969-02-05  0.87 E311
200 1969-02-06  0.44 E311
200 1969-02-12  0.26 E311
200 1969-02-15  1.08 E311
200 1969-02-17  0.03 E311
200 1969-02-18  0.25 E311
200 1969-02-19  0.06 E311
200 1969-02-21  0.60 E311
200 1969-02-22  0.12 E311
200 1969-02-23  1.73 E311
200 1969-02-24  1.68 E311
200 1969-02-25  0.07 E311
200 1969-02-26  0.22 E311
200 1969-02-28  0.96 E311
200 1969-03-10  0.11 E311
200 1969-03-12  0.02 E311
200 1969-03-20  0.03 E311
200 1969-03-21  0.26 E311
200 1969-04-02  0.67 E311
200 1969-04-05  0.95 E311
200 1969-04-23  0.04 E311
200 1969-05-31  0.01 E311
200 1969-06-01  0.03 E311
200 1969-07-12  0.03 E311
200 1969-09-06  0.01 E311
200 1969-09-15  0.03 E311
200 1969-10-16  0.11 E311
200 1969-11-05  0.40 E311
200 1969-11-06  0.90 E311
200 1969-11-07  0.24 E311
200 1969-11-08  0.06 E311
200 1969-11-10  0.01 E311
200 1969-12-08  0.19 E311
200 1970-01-09  1.90 E311
200 1970-01-10  0.02 E311
200 1970-01-11  0.29 E311
200 1970-01-12  0.20 E311
200 1970-01-14  0.09 E311
200 1970-01-15  0.34 E311
200 1970-01-16  0.93 E311
200 1970-01-19  0.02 E311
200 1970-01-24  0.10 E311
200 1970-02-09  0.60 E311
200 1970-02-10  0.52 E311
200 1970-02-11  0.22 E311
200 1970-02-13  0.16 E311
200 1970-02-27  0.16 E311
200 1970-02-28  2.45 E311
200 1970-03-01  0.78 E311
200 1970-03-04  1.42 E311
200 1970-05-24  0.01 E311
200 1970-10-20  0.10 E311
200 1970-11-04  0.20 E311
