rhessys_version,tec_file,world_file,world_hdr_prefix,flow_file,start_date,end_date,output_folder,output_filename,command_options,par_dated_id,dated_id,par_id,../defs/veg_decid.def:epc.day_leafon,../defs/veg_decid.def:epc.day_leafoff,../defs/veg_decid.def:epc.ndays_expand,../defs/veg_decid.def:epc.ndays_litfall,../defs/veg_decid.def:group_id,def_id,../defs/stdbasin.def:group_id,../defs/stdhillslope.def:group_id,../defs/stdzone.def:group_id,../defs/shallow_NT.def:group_id,../defs/lu_undev.def:group_id,all_id,hdr_id
~/RHESSys-develop/bin/rhessys7.2,../tecfiles/tec.coast,../worldfiles/EucPatch.world.0,../worldfiles/EucPatch.hdr,../flowtables/OakPatch.flow,1940 10 1 1,2010 10 2 2,../out/gsi/,decid.gsi,-b -g -c -climrepeat -vmort_off,56,0,56,299.304444552399,100.575209842063,58.6622831574641,69.9525689519942,56,56,0,0,0,0,0,56,56
~/RHESSys-develop/bin/rhessys7.2,../tecfiles/tec.coast,../worldfiles/EucPatch.world.0,../worldfiles/EucPatch.hdr,../flowtables/OakPatch.flow,1940 10 1 1,2010 10 2 2,../out/gsi/,decid.gsi,-b -g -c -climrepeat -vmort_off,57,0,57,274.60326156579,139.946726448834,51.9573933072388,64.2820175131783,57,57,0,0,0,0,0,57,57
~/RHESSys-develop/bin/rhessys7.2,../tecfiles/tec.coast,../worldfiles/EucPatch.world.0,../worldfiles/EucPatch.hdr,../flowtables/OakPatch.flow,1940 10 1 1,2010 10 2 2,../out/gsi/,decid.gsi,-b -g -c -climrepeat -vmort_off,58,0,58,255.645112751517,118.431841833517,67.1061985194683,33.9334726799279,58,58,0,0,0,0,0,58,58
~/RHESSys-develop/bin/rhessys7.2,../tecfiles/tec.coast,../worldfiles/EucPatch.world.0,../worldfiles/EucPatch.hdr,../flowtables/OakPatch.flow,1940 10 1 1,2010 10 2 2,../out/gsi/,decid.gsi,-b -g -c -climrepeat -vmort_off,59,0,59,271.688284981064,131.642729644664,33.4338025376201,72.1398802706972,59,59,0,0,0,0,0,59,59
~/RHESSys-develop/bin/rhessys7.2,../tecfiles/tec.coast,../worldfiles/EucPatch.world.0,../worldfiles/EucPatch.hdr,../flowtables/OakPatch.flow,1940 10 1 1,2010 10 2 2,../out/gsi/,decid.gsi,-b -g -c -climrepeat -vmort_off,60,0,60,253.869844693691,110.174356894568,46.739031218458,36.3040388887748,60,60,0,0,0,0,0,60,60
~/RHESSys-develop/bin/rhessys7.2,../tecfiles/tec.coast,../worldfiles/EucPatch.world.0,../worldfiles/EucPatch.hdr,../flowtables/OakPatch.flow,1940 10 1 1,2010 10 2 2,../out/gsi/,decid.gsi,-b -g -c -climrepeat -vmort_off,61,0,61,276.481709012296,148.445931407623,114.282105944585,89.1142936376855,61,61,0,0,0,0,0,61,61
~/RHESSys-develop/bin/rhessys7.2,../tecfiles/tec.coast,../worldfiles/EucPatch.world.0,../worldfiles/EucPatch.hdr,../flowtables/OakPatch.flow,1940 10 1 1,2010 10 2 2,../out/gsi/,decid.gsi,-b -g -c -climrepeat -vmort_off,62,0,62,266.34012212744,145.531894401647,57.7398082986474,72.927321321331,62,62,0,0,0,0,0,62,62
~/RHESSys-develop/bin/rhessys7.2,../tecfiles/tec.coast,../worldfiles/EucPatch.world.0,../worldfiles/EucPatch.hdr,../flowtables/OakPatch.flow,1940 10 1 1,2010 10 2 2,../out/gsi/,decid.gsi,-b -g -c -climrepeat -vmort_off,63,0,63,289.803992840461,130.838974784128,66.7809398355894,66.5539034083486,63,63,0,0,0,0,0,63,63
~/RHESSys-develop/bin/rhessys7.2,../tecfiles/tec.coast,../worldfiles/EucPatch.world.0,../worldfiles/EucPatch.hdr,../flowtables/OakPatch.flow,1940 10 1 1,2010 10 2 2,../out/gsi/,decid.gsi,-b -g -c -climrepeat -vmort_off,64,0,64,266.500192286912,95.0124622089788,109.739910517819,76.6673457669094,64,64,0,0,0,0,0,64,64
~/RHESSys-develop/bin/rhessys7.2,../tecfiles/tec.coast,../worldfiles/EucPatch.world.0,../worldfiles/EucPatch.hdr,../flowtables/OakPatch.flow,1940 10 1 1,2010 10 2 2,../out/gsi/,decid.gsi,-b -g -c -climrepeat -vmort_off,65,0,65,264.915448357351,93.6963595077395,41.3087853672914,62.0669266674668,65,65,0,0,0,0,0,65,65
~/RHESSys-develop/bin/rhessys7.2,../tecfiles/tec.coast,../worldfiles/EucPatch.world.0,../worldfiles/EucPatch.hdr,../flowtables/OakPatch.flow,1940 10 1 1,2010 10 2 2,../out/gsi/,decid.gsi,-b -g -c -climrepeat -vmort_off,66,0,66,290.70040138904,133.971812194213,75.7507130037993,80.0775042548776,66,66,0,0,0,0,0,66,66
